sn,Site,Filename,time_start,time_end,freq_low,freq_high,classid,species,sound_class,GroundTruth,score_initial,score_reinforcement
1,GFN,GFN_20190716_040000.wav,259321,259534,457,984,98,Otus lettia,S-01,0,0.33,0
2,GFN,GFN_20190719_230000.wav,268000,268406,117,473,115,Strix leptogrammica,S-01,0,0.245,0
3,GFN,GFN_20190720_010000.wav,132000,132151,395,749,116,Strix nivicolum,S-01,0,0.175,0
4,GFN,GFN_20190720_190000.wav,491316,491574,505,1078,98,Otus lettia,S-01,1,0.782,0.77
5,GFN,GFN_20190720_190000.wav,559549,559776,547,1066,98,Otus lettia,S-01,1,0.731,0.665
6,GFN,GFN_20190721_230000.wav,85693,86979,1325,1751,101,Otus spilocephalus,S-01,1,0.156,0.518
7,GFN,GFN_20190722_190000.wav,157844,158943,1395,1785,101,Otus spilocephalus,S-01,1,0.479,0.375
8,GFN,GFN_20190724_050000.wav,457748,458780,1367,1735,101,Otus spilocephalus,S-01,0,0.171,0
9,GFN,GFN_20190724_230000.wav,96000,96076,302,710,116,Strix nivicolum,S-01,0,0.104,0
10,GFN,GFN_20190725_030000.wav,193000,193062,410,799,116,Strix nivicolum,S-01,0,0.179,0
11,GFN,GFN_20190727_020000.wav,65057,66314,1191,1718,101,Otus spilocephalus,S-01,1,0.859,0.846
12,GFN,GFN_20190727_180000.wav,501531,503835,1217,1701,101,Otus spilocephalus,S-01,0,0.187,0
13,GFN,GFN_20190728_200000.wav,368028,369397,1297,1735,101,Otus spilocephalus,S-01,1,0.224,0.567
14,GFN,GFN_20190730_180000.wav,393565,394979,1030,1468,66,Glaucidium brodiei,S-01,0,0.243,0
15,GFN,GFN_20190731_210000.wav,380819,381739,1438,1802,101,Otus spilocephalus,S-01,1,0.293,0.295
16,GFN,GFN_20190801_170000.wav,46062,47920,1257,1751,101,Otus spilocephalus,S-01,0,0.197,0.198
17,GFN,GFN_20190806_060000.wav,338945,339000,481,1054,98,Otus lettia,S-01,0,0.224,0
18,GFN,GFN_20190806_210000.wav,522000,522076,380,789,116,Strix nivicolum,S-01,0,0.111,0
19,GFN,GFN_20190815_020000.wav,490560,491000,1339,1785,101,Otus spilocephalus,S-01,1,0.185,0.714
20,GFN,GFN_20190815_060000.wav,492482,492722,522,830,88,Ninox japonica,S-01,0,0.156,0
21,GFN,GFN_20190816_010000.wav,504535,505902,1217,1653,101,Otus spilocephalus,S-01,1,0.637,0.504
22,GFN,GFN_20190816_200000.wav,236034,237389,1191,1751,101,Otus spilocephalus,S-01,1,0.895,0.818
23,GFN,GFN_20190816_200000.wav,273805,275126,1178,1718,101,Otus spilocephalus,S-01,1,0.878,0.821
24,GFN,GFN_20190817_210000.wav,40704,41000,1297,1802,101,Otus spilocephalus,S-01,1,0.623,0.73
25,GFN,GFN_20190819_180000.wav,251998,254782,1257,1751,101,Otus spilocephalus,S-01,0,0.32,0
26,GFN,GFN_20190820_000000.wav,317681,318952,1191,1735,101,Otus spilocephalus,S-01,1,0.839,0.83
27,GFN,GFN_20190820_000000.wav,454014,455151,1178,1718,101,Otus spilocephalus,S-01,1,0.485,0.813
28,GFN,GFN_20190820_000000.wav,586759,587000,1339,1751,101,Otus spilocephalus,S-01,1,0.49,0.508
29,GFN,GFN_20190820_000000.wav,593082,594502,1325,1819,101,Otus spilocephalus,S-01,1,0.389,0.415
30,GFN,GFN_20190820_000000.wav,594277,595808,1339,1802,101,Otus spilocephalus,S-01,1,0.72,0.539
31,GFN,GFN_20190820_040000.wav,461744,462032,449,820,116,Strix nivicolum,S-01,0,0.104,0
32,GFN,GFN_20190820_230000.wav,134348,135000,1297,1785,101,Otus spilocephalus,S-01,0,0.261,0
33,GFN,GFN_20190821_000000.wav,430707,432025,1243,1768,101,Otus spilocephalus,S-01,1,0.567,0.443
34,GFN,GFN_20190821_000000.wav,497709,498741,1297,1768,101,Otus spilocephalus,S-01,1,0.521,0.392
35,GFN,GFN_20190822_040000.wav,341883,342000,373,799,116,Strix nivicolum,S-01,0,0.12,0.222
36,GFN,GFN_20190822_180000.wav,80110,82106,1270,1701,101,Otus spilocephalus,S-01,0,0.154,0
37,GFN,GFN_20190822_190000.wav,81423,81643,497,1042,98,Otus lettia,S-01,1,0.849,0.792
38,GFN,GFN_20190822_220000.wav,382339,383815,1243,1735,101,Otus spilocephalus,S-01,1,0.531,0.467
39,GFN,GFN_20190823_000000.wav,434581,435000,810,1165,66,Glaucidium brodiei,S-01,0,0.342,0
40,GFN,GFN_20190823_030000.wav,361083,362087,1438,1819,101,Otus spilocephalus,S-01,1,0.729,0.667
41,GFN,GFN_20190823_030000.wav,374399,375431,1381,1819,101,Otus spilocephalus,S-01,1,0.754,0.7
42,GFN,GFN_20190825_020000.wav,88000,88509,117,426,115,Strix leptogrammica,S-01,0,0.381,0
43,GFN,GFN_20190826_040000.wav,168451,168665,481,1054,98,Otus lettia,S-01,0,0.424,0.237
44,GFN,GFN_20190828_000000.wav,498817,499030,489,1030,98,Otus lettia,S-01,0,0.66,0.542
45,GFN,GFN_20190828_020000.wav,21000,21158,457,779,116,Strix nivicolum,S-01,0,0.256,0.129
46,GFN,GFN_20190828_030000.wav,323000,323055,395,789,116,Strix nivicolum,S-01,0,0.135,0.113
47,GFN,GFN_20190831_030000.wav,175131,176458,1230,1718,101,Otus spilocephalus,S-01,1,0.393,0.14
