sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
509,游離尾蝠,EL-01,Tadarida insignis,14653,25141
521,臺灣葉鼻蝠,EL-01,Hipposideros armiger,62462,70272
366,寬耳蝠,EL-01,Barbastella leucomelas,22957,69030
520,堀川氏棕蝠,EL-01,Eptesicus pachyomus,25826,54737
546,毛翼管鼻蝠,EL-01,Harpiocephalus harpia,35892,117511
511,金芒管鼻蝠,EL-01,Harpiola isodon,68781,126143
503,彩蝠,EL-01,Kerivoula furva,88989,157211
522,東亞摺翅蝠,EL-01,Miniopterus fuliginosus,47549,91339
506,姬管鼻蝠,EL-01,Murina gracilis,66769,122780
496,臺灣管鼻蝠,EL-01,Murina puta,57542,125258
517,毛腿鼠耳蝠,EL-01,Myotis fimbriatus,39530,88015
523,金黃鼠耳蝠,EL-01,Myotis formosus,33137,71384
505,長尾鼠耳蝠,EL-01,Myotis frater,40371,105067
497,白腹鼠耳蝠,EL-01,Myotis laniger,37574,81640
524,渡瀨氏鼠耳蝠,EL-01,Myotis rufoniger,43736,117181
504,長趾鼠耳蝠,EL-01,Myotis secundus,46002,86596
518,紅棕鼠耳蝠,EL-01,Myotis soror,41870,94262
525,絨山蝠,EL-01,Nyctalus plancyi,21461,33142
498,東亞家蝠,EL-01,Pipistrellus abramus,44249,75106
499,臺灣長耳蝠,EL-01,Plecotus taivanus,27052,69928
500,高頭蝠,EL-01,Scotophilus kuhlii,37384,62429
516,寬吻鼠耳蝠,EL-01,Submyotodon latirostris,49248,96577
501,霜毛蝠,EL-01,Vespertilio sinensis,23119,50634
363,臺灣大蹄鼻蝠,EL-01,Rhinolophus formosae,37059,45157
449,臺灣小蹄鼻蝠,EL-01,Rhinolophus monoceros,90206,110635
