sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
1,¶Â«a³ÂÆO,S-01,Gorsachius melanolophus,217,530
2,¶Â«a³ÂÆO,U-01,Gorsachius melanolophus,256,475
3,¶Â«a³ÂÆO,U-02,Gorsachius melanolophus,0,10000
4,¶Â«a³ÂÆO,U-03,Gorsachius melanolophus,0,10000
5,¤K¦â³¾,C-01,Pitta nympha,804,8561
6,¤K¦â³¾,S-01,Pitta nympha,1264,2653
7,¥Õ¦Õµe¬Ü,C-01,Heterophasia auricularis,3641,7310
8,¥Õ¦Õµe¬Ü,C-02,Heterophasia auricularis,1508,7712
9,¥Õ¦Õµe¬Ü,S-01,Heterophasia auricularis,1936,4407
10,¥Õ¦Õµe¬Ü,U,Heterophasia auricularis,0,10000
11,¶À¬Ü¬hÅa,C-01,Phylloscopus inornatus,4361,7250
12,¶À¬Ü¬hÅa,S-01,Phylloscopus inornatus,3936,9102
13,¶À¬Ü¬hÅa,S-02,Phylloscopus inornatus,3747,7668
14,ÆNÃY,S-01,Hierococcyx sparverioides,1466,3207
15,ÆNÃY,U-01,Hierococcyx sparverioides,1341,2257
16,¥_¤è¤¤§ùÃY,C-01,Cuculus optatus,312,768
17,¥_¤è¤¤§ùÃY,C-02,Cuculus optatus,348,860
18,¥_¤è¤¤§ùÃY,C-03,Cuculus optatus,495,1197
19,¥_¤è¤¤§ùÃY,S-01,Cuculus optatus,348,673
20,Â¸²´µe¬Ü,Ca-01,Alcippe morrisonia,3250,9925
21,Â¸²´µe¬Ü,Cb-01,Alcippe morrisonia,3806,6966
22,Â¸²´µe¬Ü,S-01,Alcippe morrisonia,2972,5647
23,Â¸²´µe¬Ü,S-03,Alcippe morrisonia,2542,4700
24,»·ªF¾ðÅa,C-01,Horornis borealis,1311,8745
25,»·ªF¾ðÅa,C-02,Horornis borealis,0,10000
26,»·ªF¾ðÅa,S-01,Horornis borealis,1057,5161
27,¤­¦â³¾,C-01,Psilopogon nuchalis,752,3320
28,¤­¦â³¾,S-01,Psilopogon nuchalis,732,1272
29,¤­¦â³¾,U,Psilopogon nuchalis,671,1199
30,«C­I¤s³¶,S-03,Parus monticolus,0,10000
31,»A³¾,U,Alcedo atthis,0,10000
32,»A³¾,U-01,Alcedo atthis,4574,6798
33,³¥ì©,C-01,Calliope calliope,0,10000
34,³¥ì©,C-02,Calliope calliope,897,5737
35,³¥ì©,C-03,Calliope calliope,517,13691
36,³¥ì©,S-01,Calliope calliope,0,10000
37,³¥ì©,U-01,Calliope calliope,0,10000
38,«n¨È©]ÆN,C-01,Caprimulgus affinis,987,8202
39,«n¨È©]ÆN,S-01,Caprimulgus affinis,2358,5437
40,¾ðÄN,Ca-01,Dendrocitta formosae,1566,2386
41,¾ðÄN,Cb-01,Dendrocitta formosae,1503,2959
42,»OÆW¥Õ³ï¾¸¬Ü,C-01,Ianthocincla ruficeps,5114,6905
43,¾ðÄN,U-01,Dendrocitta formosae,0,10000
44,¾ðÄN,U-02,Dendrocitta formosae,0,10000
45,¾ðÄN,Ua-01,Dendrocitta formosae,0,10000
46,¤p¨÷§À,C-01,Dicrurus aeneus,0,10000
47,¤p¨÷§À,C-02,Dicrurus aeneus,0,10000
48,¤p¨÷§À,C-03,Dicrurus aeneus,2432,6082
49,¤p¨÷§À,C-04,Dicrurus aeneus,0,10000
50,¤p¨÷§À,Ca-01,Dicrurus aeneus,0,10000
51,¤p¨÷§À,Ma-01,Dicrurus aeneus,0,10000
52,¤p¨÷§À,Mb-01,Dicrurus aeneus,0,10000
53,¤p¨÷§À,Mc-01,Dicrurus aeneus,0,10000
54,¤p¨÷§À,S-01,Dicrurus aeneus,1786,9627
55,¤p¨÷§À,U-01,Dicrurus aeneus,0,10000
56,¤p¨÷§À,U-02,Dicrurus aeneus,0,10000
57,¤p¨÷§À,U-03,Dicrurus aeneus,0,10000
58,ºñµe¬Ü,C-01,Erpornis zantholeuca,4347,6407
