sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
1,黑冠麻鷺,S-01,Gorsachius melanolophus,244,516
6,八色鳥,S-01,Pitta nympha,1332,2344
7,白耳畫眉,C-01,Heterophasia auricularis,2483,6572
9,白耳畫眉,S-01,Heterophasia auricularis,1911,4378
10,燕鴴,C-01,Glareola maldivarum,1217,3652
11,黃眉柳鶯,C-01,Phylloscopus inornatus,4261,7204
14,鷹鵑,S-01,Hierococcyx sparverioides,1469,2933
19,北方中杜鵑,S-01,Cuculus optatus,352,671
20,繡眼畫眉,C-01,Alcippe morrisonia,3154,7719
21,繡眼畫眉,C-02,Alcippe morrisonia,4239,6317
22,繡眼畫眉,S-01,Alcippe morrisonia,2678,6898
28,五色鳥,S-01,Psilopogon nuchalis,738,1274
29,五色鳥,U-01,Psilopogon nuchalis,852,1256
32,翠鳥,U-01,Alcedo atthis,4837,6388
33,小辮鴴,C-01,Vanellus vanellus,1161,4467
37,棕背伯勞,C-02,Lanius schach,1939,4746
39,南亞夜鷹,S-01,Caprimulgus affinis,2374,5472
40,樹鵲,C-01,Dendrocitta formosae,1401,2833
41,樹鵲,C-02,Dendrocitta formosae,1444,2856
44,梭德氏赤蛙,S-02,Pseudoamolops sauteri,604,2333
46,斑腿樹蛙,S-02,Polypedates megacephalus,453,2324
54,小卷尾,S-01,Dicrurus aeneus,1616,3841
58,綠畫眉,C-01,Erpornis zantholeuca,3685,6941
60,綠畫眉,S-01,Erpornis zantholeuca,5121,7300
65,鵂鶹,C-01,Glaucidium brodiei,828,1209
66,鵂鶹,S-01,Glaucidium brodiei,829,1228
67,小鶯,S-01,Horornis fortipes,1639,5251
72,黑枕藍鶲,S-01,Hypothymis azurea,2070,6360
76,紅嘴黑鵯,C-01,Hypsipetes leucocephalus,1866,5472
77,紅嘴黑鵯,S-01,Hypsipetes leucocephalus,2642,5382
78,紅嘴黑鵯,U-01,Hypsipetes leucocephalus,2848,4901
84,林鵰,S-01,Ictinaetus malaiensis,1691,2607
85,紅尾伯勞,C-01,Lanius cristatus,2883,7263
88,褐鷹鴞,S-01,Ninox japonica,407,808
93,朱鸝,S-01,Oriolus traillii,447,909
94,蘭嶼角鴞,S-02,Otus elegans,675,1260
95,蘭嶼角鴞,S-01,Otus elegans,569,1029
97,領角鴞,C-01,Otus lettia,4314,10489
98,領角鴞,S-01,Otus lettia,425,1069
100,黃嘴角鴞,C-01,Otus spilocephalus,1229,1825
101,黃嘴角鴞,S-01,Otus spilocephalus,1358,1747
102,黃嘴角鴞,U-01,Otus spilocephalus,1246,3252
103,黃尾鴝,C-01,Phoenicurus auroreus,4694,5915
105,大冠鷲,S-01,Spilornis cheela,1309,2091
110,珠頸斑鳩,S-01,Streptopelia chinensis,489,995
111,大赤啄木,C-01,Dendrocopos leucotos,2359,4502
112,大赤啄木,O-01,Dendrocopos leucotos,316,2077
113,褐林鴞,C-01,Strix leptogrammica,568,1778
115,褐林鴞,S-01,Strix leptogrammica,234,577
116,東方灰林鴞,S-01,Strix nivicolum,320,769
