id	common_name	class_name	scientific_name
1	黑冠麻鷺	S-01	Gorsachius melanolophus
2	黑冠麻鷺	U-01	Gorsachius melanolophus
3	黑冠麻鷺	U-02	Gorsachius melanolophus
4	黑冠麻鷺	U-03	Gorsachius melanolophus
5	八色鳥	C-01	Pitta nympha
6	八色鳥	S-01	Pitta nympha
7	白耳畫眉	C-01	Heterophasia auricularis
8	白耳畫眉	C-02	Heterophasia auricularis
9	白耳畫眉	S-01	Heterophasia auricularis
10	白耳畫眉	U	Heterophasia auricularis
58	綠畫眉	C-01	Erpornis zantholeuca
66	鵂鶹	S-01	Glaucidium brodiei
77	紅嘴黑鵯	S-01	Hypsipetes leucocephalus
89	朱鸝	Ca-01	Oriolus traillii
100	黃嘴角鴞	C-01	Otus spilocephalus
112	大赤啄木	O-01	Dendrocopos leucotos
124	犬	C-01	Canis lupus familiaris
135	栗背林鴝	S-01	Tarsiger johnstoniae
146	小彎嘴	S-05	Pomatorhinus musicus
155	緋秧雞	C-02	Zapornia fusca
158	臺灣叢樹鶯	C-01	Locustella alishanensis
169	大彎嘴	S-05	Megapomatorhinus erythrocnemis
179	臺灣噪眉	Cc-01	Trochalopteron morrisonianum
180	臺灣噪眉	Cc-02	Trochalopteron morrisonianum
181	臺灣噪眉	Cc-03	Trochalopteron morrisonianum
182	臺灣噪眉	S-01	Trochalopteron morrisonianum
183	臺灣噪眉	S-02	Trochalopteron morrisonianum
184	臺灣噪眉	S-03	Trochalopteron morrisonianum
187	黃山雀	S-02	Machlolophus holsti
188	黃山雀	S-03	Machlolophus holsti
189	黃山雀	S-04	Machlolophus holsti
190	黃山雀	U-01	Machlolophus holsti
191	黃山雀	U-02	Machlolophus holsti
192	黃山雀	U-03	Machlolophus holsti
193	黃山雀	U-04	Machlolophus holsti
194	黃山雀	U-05	Machlolophus holsti
195	黃山雀	U-06	Machlolophus holsti
196	棕面鶯	Ca	Abroscopus albogularis
197	棕面鶯	Cc	Abroscopus albogularis
198	棕面鶯	Sa	Abroscopus albogularis
199	小雨燕	C-01	Apus nipalensis
200	小雨燕	U-01	Apus nipalensis
201	小雨燕	U-02	Apus nipalensis
202	野鴝	Ca-01	Calliope calliope
203	野鴝	Cb-01	Calliope calliope
204	山紅頭	Ca-01	Cyanoderma ruficeps
205	山紅頭	Cb-01	Cyanoderma ruficeps
206	山紅頭	Cc	Cyanoderma ruficeps
207	山紅頭	S-01	Cyanoderma ruficeps
208	小啄木	C-01	Dendrocopos canicapillus
210	小啄木	C-03	Dendrocopos canicapillus
211	小啄木	U-01	Dendrocopos canicapillus
212	深山鶯	C-01	Horornis acanthizoides
214	深山鶯	S-01	Horornis acanthizoides
217	深山鶯	U-01	Horornis acanthizoides
218	紅尾伯勞	Ca-01	Lanius cristatus
219	紅尾伯勞	Ca-02	Lanius cristatus
221	灰頭鷦鶯	Ca-01	Prinia flaviventris
222	灰頭鷦鶯	Cb-01	Prinia flaviventris
223	灰頭鷦鶯	S-01	Prinia flaviventris
226	頭烏線	Ca-01	Schoeniparus brunneus
227	頭烏線	Cb-01	Schoeniparus brunneus
228	頭烏線	S-01	Schoeniparus brunneus
229	白眉林鴝	C-03	Tarsiger indicus
230	白眉林鴝	Ca-01	Tarsiger indicus
231	白眉林鴝	Cb-01	Tarsiger indicus
232	白眉林鴝	S-01	Tarsiger indicus
233	白眉林鴝	S-02	Tarsiger indicus
234	綠繡眼	Ca	Zosterops japonicus
235	綠繡眼	Cb	Zosterops japonicus
236	綠繡眼	Sa	Zosterops japonicus
237	綠繡眼	Sb	Zosterops japonicus
238	灰腳秧雞	S-01	Rallina eurizonoides
239	盤古蟾蜍	S-01	Bufo bankorensis
240	中國樹蟾	S-01	Hyla chinensis
241	巴氏小雨蛙	S-01	Microhyla butleri
242	黑蒙西氏小雨蛙	S-01	Microhyla heymonsi
243	史丹吉氏小雨蛙	S-01	Micryletta steinegeri
244	腹斑蛙	S-01	Babina adenopleura
245	福建大頭蛙	S-01	Limnonectes fujianensis
246	澤蛙	S-01	Fejervarya kawamurai
247	長腳赤蛙	S-01	Rana longicrus
248	梭德氏赤蛙	S-01	Pseudoamolops sauteri
249	日本樹蛙	S-01	Buergeria japonica
250	褐樹蛙	S-01	Buergeria robusta
251	艾氏樹蛙	S-01	Kurixalus eiffingeri
252	面天樹蛙	S-01	Kurixalus idiootocus
253	斑腿樹蛙	S-01	Polypedates megacephalus
254	諸羅樹蛙	S-01	Rhacophorus arvalis
255	橙腹樹蛙	S-01	Rhacophorus aurantiventris
258	臺北樹蛙	S-01	Rhacophorus taipeianus
269	爪哇狹口蛙	S-01	Kaloula baleata
280	臺灣山鷓鴣	S-02	Arborophila crudigularis
293	日本松雀鷹	Sb-01	Accipiter gularis
304	棕三趾鶉	S-01	Turnix suscitator
315	金背鳩	S-01	Streptopelia orientalis
326	綠啄木	O-01	Picus canus
337	灰喉山椒	C-01	Pericrocotus solaris
348	河烏	S-01	Cinclus pallasii
358	鉛色水鶇	Ca-01	Phoenicurus fuliginosus
359	鉛色水鶇	Cb-01	Phoenicurus fuliginosus
360	鉛色水鶇	Cc-01	Phoenicurus fuliginosus
361	白尾鴝	S-01	Cinclidium leucurum
371	白氏地鶇	S-01	Zoothera aurea
372	白頭鶇	S-01	Turdus poliocephalus
373	白頭鶇	C-01	Turdus poliocephalus
374	小翼鶇	S-01	Brachypteryx montana
375	褐頭花翼	S-01	Fulvetta formosana
376	褐頭花翼	Ca-01	Fulvetta formosana
377	褐頭花翼	Cb-01	Fulvetta formosana
378	煤山雀	S-01	Periparus ater
379	煤山雀	Ca-01	Periparus ater
380	煤山雀	Cb-01	Periparus ater
381	煤山雀	Cc-01	Periparus ater
382	煤山雀	Cd-01	Periparus ater
383	白鶺鴒	Ca-01	Motacilla alba
384	白鶺鴒	Cb-01	Motacilla alba
385	粉紅鸚嘴	Ca-01	Sinosuthora webbiana
386	粉紅鸚嘴	Cb-01	Sinosuthora webbiana
387	黃羽鸚嘴	Ca-01	Suthora verreauxi
388	黃羽鸚嘴	Cb-01	Suthora verreauxi
389	黃羽鸚嘴	Cc-01	Suthora verreauxi
390	臺灣白喉噪眉	U-01	Ianthocincla ruficeps
391	黑喉噪眉	S-01	Ianthocincla chinensis
